Gene.ID,C,A,P,AP,Cluster
HORVU.MOREX.r3.3HG0322270,108,142,13,13,c1
HORVU.MOREX.r3.3HG0322340,60,73,200,92,c6
HORVU.MOREX.r3.3HG0322360,53,118,64,53,c1
HORVU.MOREX.r3.3HG0322520,51,57,106,131,c3
HORVU.MOREX.r3.3HG0322650,145,209,186,106,c4
HORVU.MOREX.r3.3HG0323000,50,71,11,10,c1
HORVU.MOREX.r3.3HG0323270,3885,7900,655,506,c4
HORVU.MOREX.r3.3HG0323580,56,470,465,409,c2
HORVU.MOREX.r3.3HG0323610,377,226,32,36,c1
HORVU.MOREX.r3.3HG0323750,83,104,131,99,c1
HORVU.MOREX.r3.3HG0323940,152,106,8,7,c1
HORVU.MOREX.r3.3HG0324150,28,37,34,25,c1
HORVU.MOREX.r3.3HG0324330,50,70,45,64,c1
HORVU.MOREX.r3.3HG0324600,575,597,375,455,c5
HORVU.MOREX.r3.3HG0325150,35540,42862,6920,6465,c1
HORVU.MOREX.r3.3HG0325240,3,11,47,33,c1
HORVU.MOREX.r3.3HG0325380,110,102,9,13,c1
HORVU.MOREX.r3.3HG0325410,101,84,9,8,c1
HORVU.MOREX.r3.3HG0325810,20,27,38,40,c1
HORVU.MOREX.r3.3HG0326090,391,422,88,75,c1
HORVU.MOREX.r3.3HG0326160,22,26,23,30,c1
HORVU.MOREX.r3.3HG0326200,242,189,18,38,c1
HORVU.MOREX.r3.3HG0326310,302,568,1345,4341,c5
HORVU.MOREX.r3.3HG0326690,235,167,46,37,c1
HORVU.MOREX.r3.3HG0326700,92,74,22,11,c1
HORVU.MOREX.r3.3HG0326880,834,1074,3942,6122,c5
HORVU.MOREX.r3.3HG0326900,282,278,62,69,c1
HORVU.MOREX.r3.3HG0327120,32.33333333,47.66666667,8,13,c7
HORVU.MOREX.r3.3HG0327190,311,388,382,233,c2
HORVU.MOREX.r3.3HG0327790,95,64,15,21,c1
HORVU.MOREX.r3.3HG0327830,4077,3227,755,1019,c1
HORVU.MOREX.r3.3HG0327840,4419,3482,869,1066,c1
HORVU.MOREX.r3.3HG0327850,93,64,7,15,c1
HORVU.MOREX.r3.3HG0328330,14,12,37,37,c1
HORVU.MOREX.r3.3HG0328430,8,20,72,52,c1
HORVU.MOREX.r3.3HG0328960,481,389,93,74,c1
HORVU.MOREX.r3.3HG0329040,3000,2785,256,254,c1
HORVU.MOREX.r3.3HG0329300,203,170,43,27,c1
HORVU.MOREX.r3.3HG0329310,78,122,111,120,c1
HORVU.MOREX.r3.3HG0329430,145,209,205,196,c5
HORVU.MOREX.r3.3HG0329540,4883,7176,882,1169,c1
HORVU.MOREX.r3.3HG0329760,900,927,189,162,c1
HORVU.MOREX.r3.3HG0329940,274,236,61,57,c1
HORVU.MOREX.r3.3HG0330040,41,42,8,7,c1
HORVU.MOREX.r3.3HG0330070,782,1205,1134,1133,c5
HORVU.MOREX.r3.3HG0330120,270,21,0,0,c1
HORVU.MOREX.r3.3HG0330150,2832,3113,557,737,c1
HORVU.MOREX.r3.3HG0330200,6095,6857,6000,6755,c5
HORVU.MOREX.r3.3HG0330430,87,95,35,17,c1
HORVU.MOREX.r3.3HG0330940,76,83,13,17,c1
HORVU.MOREX.r3.3HG0330950,110,149,28,21,c1
HORVU.MOREX.r3.3HG0331020,2829,8678,5577,5123,c2
HORVU.MOREX.r3.3HG0331080,110,190,289,226,c2
HORVU.MOREX.r3.4HG0331300,74,87,67,60,c1
HORVU.MOREX.r3.4HG0331420,52,58,14,8,c1
HORVU.MOREX.r3.4HG0331460,667,973,836,606,c2
HORVU.MOREX.r3.4HG0331500,38,67,181,154,c2
HORVU.MOREX.r3.4HG0331630,164,155,130,126,c1
HORVU.MOREX.r3.4HG0331640,982,841,214,190,c1
HORVU.MOREX.r3.4HG0331680,342,426,130,76,c4
HORVU.MOREX.r3.4HG0331910,22,52,72,52,c1
HORVU.MOREX.r3.4HG0331920,233,236,28,19,c1
HORVU.MOREX.r3.4HG0331930,816,769,174,137,c1
HORVU.MOREX.r3.4HG0332050,78,54,16,18,c1
HORVU.MOREX.r3.4HG0332100,143,219,530,412,c2
HORVU.MOREX.r3.4HG0332220,267,230,27,40,c1
HORVU.MOREX.r3.4HG0332840,3026,2188,87,97,c1
HORVU.MOREX.r3.4HG0332940,44,45,27,39,c1
HORVU.MOREX.r3.4HG0332970,97,78,16,12,c1
HORVU.MOREX.r3.4HG0333040,392,495,319,308,c5
HORVU.MOREX.r3.4HG0333050,109,78,13,17,c1
HORVU.MOREX.r3.4HG0333100,4212,4489,10225,4618,c2
HORVU.MOREX.r3.4HG0333170,42,31,26,31,c1
HORVU.MOREX.r3.4HG0333180,229,281,200,195,c3
HORVU.MOREX.r3.4HG0333190,323,158,18,14,c1
HORVU.MOREX.r3.4HG0333220,116,342,99,51,c4
HORVU.MOREX.r3.4HG0333240,105,65,12,25,c1
HORVU.MOREX.r3.4HG0333270,65,59,14,15,c1
HORVU.MOREX.r3.4HG0333350,3,13,30,35,c1
HORVU.MOREX.r3.4HG0333370,278,230,195,184,c1
HORVU.MOREX.r3.4HG0333400,131,117,29,27,c1
HORVU.MOREX.r3.4HG0333410,576,743,2071,3922,c5
HORVU.MOREX.r3.4HG0333450,126,134,19,13,c1
HORVU.MOREX.r3.4HG0333530,89,73,22,11,c1
HORVU.MOREX.r3.4HG0333540,48,46,41,35,c1
HORVU.MOREX.r3.4HG0333550,392,576,79,86,c1
HORVU.MOREX.r3.4HG0333590,53,62,20,8,c1
HORVU.MOREX.r3.4HG0333910,97,107,72,78,c1
HORVU.MOREX.r3.4HG0334010,228,492,674,596,c2
HORVU.MOREX.r3.4HG0334210,14965,13238,2150,1721,c1
HORVU.MOREX.r3.4HG0334480,269,442,830,547,c2
HORVU.MOREX.r3.4HG0334570,123,114,27,35,c1
HORVU.MOREX.r3.4HG0334610,281,175,214,146,c6
HORVU.MOREX.r3.4HG0334630,720,453,104,109,c1
HORVU.MOREX.r3.4HG0334900,64,89,10,5,c1
HORVU.MOREX.r3.4HG0334930,814,615,95,70,c1
HORVU.MOREX.r3.4HG0334970,109,13,1,1,c1
HORVU.MOREX.r3.4HG0335300,377,461,432,342,c2
HORVU.MOREX.r3.4HG0335320,418,537,656,938,c5
HORVU.MOREX.r3.4HG0335410,50,77,42,39,c1
HORVU.MOREX.r3.4HG0335650,34,3,45,58,c1
HORVU.MOREX.r3.4HG0335750,402,408,95,68,c1
HORVU.MOREX.r3.4HG0335800,858,807,919,458,c2
HORVU.MOREX.r3.4HG0335910,64,93,95,98,c1
HORVU.MOREX.r3.4HG0335960,183,202,214,314,c5
HORVU.MOREX.r3.4HG0336030,31.33333333,42.33333333,7.333333333,9.333333333,c7
HORVU.MOREX.r3.4HG0336060,850,778,105,91,c1
HORVU.MOREX.r3.4HG0336160,17,25,28,26,c1
HORVU.MOREX.r3.4HG0336180,158,292,270,219,c2
HORVU.MOREX.r3.4HG0336230,76,117,91,68,c1
HORVU.MOREX.r3.4HG0336280,35,21,38,32,c1
HORVU.MOREX.r3.4HG0336400,89,95,81,75,c1
HORVU.MOREX.r3.4HG0336420,1282,1264,187,199,c1
HORVU.MOREX.r3.4HG0336430,48,39,7,11,c1
HORVU.MOREX.r3.4HG0336460,312,314,327,280,c2
HORVU.MOREX.r3.4HG0336570,4,7,26,35,c1
HORVU.MOREX.r3.4HG0336660,258,222,60,43,c1
HORVU.MOREX.r3.4HG0336730,300,263,216,206,c3
HORVU.MOREX.r3.4HG0336820,1779,1445,356,512,c1
HORVU.MOREX.r3.4HG0336840,19,23,21,16,c1
HORVU.MOREX.r3.4HG0336870,1430,1502,1883,1687,c2
HORVU.MOREX.r3.4HG0336940,67,9,75,84,c1
HORVU.MOREX.r3.4HG0337000,656,1475,1866,1613,c2
HORVU.MOREX.r3.4HG0337030,2151,1825,296,276,c1
HORVU.MOREX.r3.4HG0337040,244,383,343,294,c2
HORVU.MOREX.r3.4HG0337070,1915,1600,294,366,c1
HORVU.MOREX.r3.4HG0337200,151,192,274,189,c2
HORVU.MOREX.r3.4HG0337240,39,20,79,26,c4
HORVU.MOREX.r3.4HG0337270,56,33,11,15,c1
HORVU.MOREX.r3.4HG0337460,82,97,119,87,c1
HORVU.MOREX.r3.4HG0337490,55,36,40,45,c1
HORVU.MOREX.r3.4HG0337590,54,78,65,54,c1
HORVU.MOREX.r3.4HG0337740,68,185,133,124,c1
HORVU.MOREX.r3.4HG0337930,63,23,1,5,c1
HORVU.MOREX.r3.4HG0337950,20,12,42,31,c1
HORVU.MOREX.r3.4HG0338060,16,18,14,20,c1
HORVU.MOREX.r3.4HG0338190,59,68.66666667,14.66666667,14.66666667,c7
HORVU.MOREX.r3.4HG0338340,28,44,129,135,c3
HORVU.MOREX.r3.4HG0338560,34,84,399,269,c2
HORVU.MOREX.r3.4HG0338590,304,356,556,406,c2
HORVU.MOREX.r3.4HG0338600,501,570,554,351,c2
HORVU.MOREX.r3.4HG0338620,16,81,141,139,c3
HORVU.MOREX.r3.4HG0338640,4,37,97,69,c1
HORVU.MOREX.r3.4HG0338720,67,72,135,96,c4
HORVU.MOREX.r3.4HG0338760,54,52,10,10,c1
HORVU.MOREX.r3.4HG0338800,2144,1550,483,404,c1
HORVU.MOREX.r3.4HG0338910,91,120,134,92,c4
HORVU.MOREX.r3.4HG0338980,83,86,106,91,c1
HORVU.MOREX.r3.4HG0339280,54,56,10,10,c1
HORVU.MOREX.r3.4HG0339290,101,123,29,15,c1
HORVU.MOREX.r3.4HG0339340,42,24,45,44,c1
HORVU.MOREX.r3.4HG0339390,901,1307,1293,1005,c2
HORVU.MOREX.r3.4HG0339400,869,1378,1332,1004,c2
HORVU.MOREX.r3.4HG0339590,110,96,31,20,c1
HORVU.MOREX.r3.4HG0339670,157,101,20,21,c1
HORVU.MOREX.r3.4HG0339810,1402,1572,153,160,c1
HORVU.MOREX.r3.4HG0339820,2144,2078,468,457,c1
HORVU.MOREX.r3.4HG0339890,117,133,111,103,c1
HORVU.MOREX.r3.4HG0339930,224,274,620,447,c2
HORVU.MOREX.r3.4HG0340030,3,13,122,102,c1
HORVU.MOREX.r3.4HG0340040,25,120,414,337,c2
HORVU.MOREX.r3.4HG0340230,257,225,71,49,c1
HORVU.MOREX.r3.4HG0340370,180,96,21,14,c1
HORVU.MOREX.r3.4HG0340410,128,59,12,12,c1
HORVU.MOREX.r3.4HG0340430,753,483,133,142,c1
HORVU.MOREX.r3.4HG0340820,20121,15575,1886,1376,c1
HORVU.MOREX.r3.4HG0340900,236,289,217,132,c4
HORVU.MOREX.r3.4HG0340910,226,186,24,20,c1
HORVU.MOREX.r3.4HG0341070,2808,1724,455,510,c1
HORVU.MOREX.r3.4HG0341090,103,130,296,288,c5
HORVU.MOREX.r3.4HG0341160,90,99,25,18,c1
HORVU.MOREX.r3.4HG0341330,105,95,34,19,c1
HORVU.MOREX.r3.4HG0341440,94,101,16,19,c1
HORVU.MOREX.r3.4HG0341490,47,52,8,12,c1
HORVU.MOREX.r3.4HG0341530,46,50,8,9,c1
HORVU.MOREX.r3.4HG0341870,995,567,65,57,c1
HORVU.MOREX.r3.4HG0341950,58,72,11,11,c1
HORVU.MOREX.r3.4HG0341970,45,44,31,40,c1
HORVU.MOREX.r3.4HG0342080,456,698,114,100,c1
HORVU.MOREX.r3.4HG0342480,3938,4318,530,547,c1
HORVU.MOREX.r3.4HG0342650,73,60,94,119,c1
HORVU.MOREX.r3.4HG0342720,16,41,38,37,c1
HORVU.MOREX.r3.4HG0342760,625,676,87,75,c1
HORVU.MOREX.r3.4HG0342800,265,422,341,320,c5
HORVU.MOREX.r3.4HG0342860,236,195,45,44,c1
HORVU.MOREX.r3.4HG0342880,295,207,72,43,c1
HORVU.MOREX.r3.4HG0342970,158,110,43,30,c1
HORVU.MOREX.r3.4HG0342980,407,360,104,76,c1
HORVU.MOREX.r3.4HG0343130,96,210,10,16,c1
HORVU.MOREX.r3.4HG0343260,1879,1253,182,202,c1
HORVU.MOREX.r3.4HG0343300,541,346,95,107,c1
HORVU.MOREX.r3.4HG0343320,227,199,53,32,c1
HORVU.MOREX.r3.4HG0343330,62,45,10,12,c1
HORVU.MOREX.r3.4HG0343380,1022,831,208,228,c1
HORVU.MOREX.r3.4HG0343590,61,67,73,52,c1
HORVU.MOREX.r3.4HG0343660,257,252,314,223,c2
HORVU.MOREX.r3.4HG0343670,639,536,117,98,c1
HORVU.MOREX.r3.4HG0343680,67,87,110,83,c1
HORVU.MOREX.r3.4HG0343710,19,36,69,61,c1
HORVU.MOREX.r3.4HG0343800,190,227,245,143,c6
HORVU.MOREX.r3.4HG0344050,1189,1435,882,976,c5
HORVU.MOREX.r3.4HG0344130,44,28,11,6,c1
HORVU.MOREX.r3.4HG0344270,81,68,15,9,c1
HORVU.MOREX.r3.4HG0344400,1889,1502,247,213,c1
HORVU.MOREX.r3.4HG0344730,86,68,5,2,c1
HORVU.MOREX.r3.4HG0344940,146,205,400,173,c6
HORVU.MOREX.r3.4HG0344950,182,235,60,42,c1
HORVU.MOREX.r3.4HG0344990,285,324,64,55,c1
HORVU.MOREX.r3.4HG0345140,185,271,260,186,c2
HORVU.MOREX.r3.4HG0345230,140,110,14,32,c1
HORVU.MOREX.r3.4HG0345250,586,437,76,68,c1
HORVU.MOREX.r3.4HG0345260,84,90,19,15,c1
HORVU.MOREX.r3.4HG0345490,1134,1106,125,146,c1
HORVU.MOREX.r3.4HG0345600,257,199,57,41,c1
HORVU.MOREX.r3.4HG0345700,67,67,77,64,c1
HORVU.MOREX.r3.4HG0345760,126,113,31,18,c1
HORVU.MOREX.r3.4HG0346230,7,17,24,18.66666667,c7
HORVU.MOREX.r3.4HG0346410,331,611,166,369,c3
HORVU.MOREX.r3.4HG0346520,488,597,105,137,c1
HORVU.MOREX.r3.4HG0346530,451,450,336,341,c5
HORVU.MOREX.r3.4HG0346610,145,179,225,150,c6
HORVU.MOREX.r3.4HG0346640,13,10,34,11,c1
HORVU.MOREX.r3.4HG0346770,159,166,42,30,c1
HORVU.MOREX.r3.4HG0346810,6,14,24,23,c1
HORVU.MOREX.r3.4HG0346860,321,360,356,383,c5
HORVU.MOREX.r3.4HG0347000,811,1250,1341,1023,c2
HORVU.MOREX.r3.4HG0347050,48,38,71,62,c1
HORVU.MOREX.r3.4HG0347060,45,35,6,6,c1
HORVU.MOREX.r3.4HG0347310,89,86,15,13,c1
HORVU.MOREX.r3.4HG0347360,1004,1424,1254,1187,c2
HORVU.MOREX.r3.4HG0347380,53,86,408,278,c2
HORVU.MOREX.r3.4HG0347420,231,170,48,49,c1
HORVU.MOREX.r3.4HG0347570,752,392,87,126,c1
HORVU.MOREX.r3.4HG0347650,152,132,19,20,c1
HORVU.MOREX.r3.4HG0347760,60,74,30,51,c1
HORVU.MOREX.r3.4HG0347790,101,123,17,22,c1
HORVU.MOREX.r3.4HG0347840,201,251,230,139,c6
HORVU.MOREX.r3.4HG0348190,244,317,66,41,c1
HORVU.MOREX.r3.4HG0348850,123,133,141,79,c4
HORVU.MOREX.r3.4HG0349000,306,392,351,182,c6
HORVU.MOREX.r3.4HG0349070,15095,12858,2254,2472,c1
HORVU.MOREX.r3.4HG0349400,274,450,348,237,c2
HORVU.MOREX.r3.4HG0349450,2230,2583,1332,2073,c5
HORVU.MOREX.r3.4HG0349520,80,117,222,212,c5
HORVU.MOREX.r3.4HG0349780,315,200,65,88,c1
HORVU.MOREX.r3.4HG0349800,72,84,13,5,c1
HORVU.MOREX.r3.4HG0350710,152,180,258,150,c6
HORVU.MOREX.r3.4HG0350830,140,193,249,214,c2
HORVU.MOREX.r3.4HG0350850,232,188,41,55,c1
HORVU.MOREX.r3.4HG0350900,432,665,424,251,c6
HORVU.MOREX.r3.4HG0351050,28,58,10,8,c1
HORVU.MOREX.r3.4HG0351080,80,112,85,101,c1
HORVU.MOREX.r3.4HG0351320,168,214,417,374,c2
HORVU.MOREX.r3.4HG0351450,953,1198,125,157,c1
HORVU.MOREX.r3.4HG0351550,80,46,8,19,c1
HORVU.MOREX.r3.4HG0351560,1396,1037,222,168,c1
HORVU.MOREX.r3.4HG0351790,239,382,260,243,c5
HORVU.MOREX.r3.4HG0352200,383,452,296,311,c5
HORVU.MOREX.r3.4HG0352300,19,22,27,40,c1
HORVU.MOREX.r3.4HG0352590,459,409,73,105,c1
HORVU.MOREX.r3.4HG0352710,66,103,79,47,c1
HORVU.MOREX.r3.4HG0352790,181,132,32,47,c1
HORVU.MOREX.r3.4HG0352900,95,175,251,437,c5
HORVU.MOREX.r3.4HG0352910,20,31,44,72,c1
HORVU.MOREX.r3.4HG0353020,114,150,20,34,c1
HORVU.MOREX.r3.4HG0353070,368,505,256,334,c3
HORVU.MOREX.r3.4HG0353220,218,267,256,198,c2
HORVU.MOREX.r3.4HG0353330,66,42,11,20,c1
HORVU.MOREX.r3.4HG0353710,88,82,21,14,c1
HORVU.MOREX.r3.4HG0353950,78,71,94,127,c3
HORVU.MOREX.r3.4HG0354140,314,583,201,284,c3
HORVU.MOREX.r3.4HG0354250,99,45,48,36,c1
HORVU.MOREX.r3.4HG0354570,272,343,260,212,c2
HORVU.MOREX.r3.4HG0354780,171,179,37,51,c1
HORVU.MOREX.r3.4HG0355420,894,691,141,126,c1
HORVU.MOREX.r3.4HG0355430,72,99,20,13,c1
HORVU.MOREX.r3.4HG0355650,44,30,12,7,c1
HORVU.MOREX.r3.4HG0356120,495,633,530,446,c2
HORVU.MOREX.r3.4HG0356280,49,87,61,57,c1
HORVU.MOREX.r3.4HG0356350,150,80,33,25,c1
HORVU.MOREX.r3.4HG0356550,73,81,242,229,c5
HORVU.MOREX.r3.4HG0356740,124,83,25,29,c1
HORVU.MOREX.r3.4HG0356810,1098,766,601,585,c5
HORVU.MOREX.r3.4HG0356870,239,415,608,478,c2
HORVU.MOREX.r3.4HG0357240,95,23,1,1,c1
HORVU.MOREX.r3.4HG0357330,392,501,430,398,c5
HORVU.MOREX.r3.4HG0357430,89499,75540,13557,12325,c1
HORVU.MOREX.r3.4HG0357650,209,178,26,28,c1
HORVU.MOREX.r3.4HG0358180,586,1130,1048,935,c2
HORVU.MOREX.r3.4HG0358300,81,116,110,89,c1
HORVU.MOREX.r3.4HG0358620,416,460,324,127,c6
HORVU.MOREX.r3.4HG0358770,981,928,186,184,c1
HORVU.MOREX.r3.4HG0359060,49,79,60,64,c1
HORVU.MOREX.r3.4HG0360060,996,1061,266,192,c4
HORVU.MOREX.r3.4HG0360670,602,605,575,412,c2
HORVU.MOREX.r3.4HG0361660,1094,1188,720,925,c5
HORVU.MOREX.r3.4HG0361680,142,82,88,75,c1
HORVU.MOREX.r3.4HG0362920,275,176,40,44,c1
HORVU.MOREX.r3.4HG0362980,59,52,58,63,c1
HORVU.MOREX.r3.4HG0363040,460,339,60,77,c1
HORVU.MOREX.r3.4HG0363150,188,229,50,59,c7
HORVU.MOREX.r3.4HG0363820,209,123,39,45,c1
HORVU.MOREX.r3.4HG0364420,52,38,10,16,c1
HORVU.MOREX.r3.4HG0364440,398,376,77,83,c1
HORVU.MOREX.r3.4HG0365000,148,105,37,26,c1
HORVU.MOREX.r3.4HG0365270,2610,2245,570,509,c1
HORVU.MOREX.r3.4HG0366920,542,447,103,63,c1
HORVU.MOREX.r3.4HG0370520,1249,1567,106,74,c1
HORVU.MOREX.r3.4HG0370650,1330,1477,273,291,c1
HORVU.MOREX.r3.4HG0371500,120,120,19,18,c1
HORVU.MOREX.r3.4HG0371680,78,87,90,75,c1
HORVU.MOREX.r3.4HG0374390,419,305,82,65,c1
HORVU.MOREX.r3.4HG0374480,584,483,76,93,c1
HORVU.MOREX.r3.4HG0375600,92,56,125,124,c1
HORVU.MOREX.r3.4HG0375670,152,172,44,29,c1
HORVU.MOREX.r3.4HG0376960,215,107,35,43,c1
HORVU.MOREX.r3.4HG0377080,197,151,23,20,c1
HORVU.MOREX.r3.4HG0377630,125,62,19,19,c1
HORVU.MOREX.r3.4HG0377950,507,497,114,98,c1
HORVU.MOREX.r3.4HG0378290,36,36,74,62,c1
HORVU.MOREX.r3.4HG0378610,1021,688,105,125,c1
HORVU.MOREX.r3.4HG0378680,40,60,105,31,c4
HORVU.MOREX.r3.4HG0378860,104,84,23,29,c1
HORVU.MOREX.r3.4HG0378900,397,492,354,374,c5
HORVU.MOREX.r3.4HG0378980,274,323,288,247,c2
HORVU.MOREX.r3.4HG0379260,207,287,965,667,c2
HORVU.MOREX.r3.4HG0379270,910,624,149,128,c1
HORVU.MOREX.r3.4HG0379320,18,11,30,29,c1
HORVU.MOREX.r3.4HG0379610,391,489,500,420,c2
HORVU.MOREX.r3.4HG0379640,503,357,103,141,c1
HORVU.MOREX.r3.4HG0379700,370,463,522,594,c5
HORVU.MOREX.r3.4HG0379790,89,151,335,295,c2
HORVU.MOREX.r3.4HG0380120,220,438,591,680,c5
HORVU.MOREX.r3.4HG0380210,269,193,50,62,c1
HORVU.MOREX.r3.4HG0380330,55,58,66,59,c1
HORVU.MOREX.r3.4HG0380540,115,101,104,91,c1
HORVU.MOREX.r3.4HG0380710,505,691,654,469,c2
HORVU.MOREX.r3.4HG0380730,351,348,333,247,c2
HORVU.MOREX.r3.4HG0380790,184,508,596,563,c5
HORVU.MOREX.r3.4HG0380820,503,548,523,474,c2
HORVU.MOREX.r3.4HG0380970,157,75,8,6,c1
HORVU.MOREX.r3.4HG0381320,119,90,34,79,c1
HORVU.MOREX.r3.4HG0381360,240,210,48,34,c1
HORVU.MOREX.r3.4HG0381740,1373,1120,245,208,c1
HORVU.MOREX.r3.4HG0381750,154,297,665,406,c2
HORVU.MOREX.r3.4HG0381790,70,112,371,310,c2
HORVU.MOREX.r3.4HG0381970,45,47,6,7,c1
HORVU.MOREX.r3.4HG0381990,969,1136,218,207,c1
HORVU.MOREX.r3.4HG0382450,444,523,447,377,c2
HORVU.MOREX.r3.4HG0382510,2550,1985,1351,1709,c5
HORVU.MOREX.r3.4HG0382520,55,37,18,8,c1
HORVU.MOREX.r3.4HG0382620,201,167,246,173,c6
HORVU.MOREX.r3.4HG0382660,84,96,85,64,c1
HORVU.MOREX.r3.4HG0382670,16,38,189,189,c5
HORVU.MOREX.r3.4HG0382730,21,34,32,15,c1
HORVU.MOREX.r3.4HG0382760,247,300,531,504,c5
HORVU.MOREX.r3.4HG0382910,21,35,42,25,c1
HORVU.MOREX.r3.4HG0383170,82,144,126,97,c1
HORVU.MOREX.r3.4HG0383230,114,212,403,267,c2
HORVU.MOREX.r3.4HG0383270,93,110,79,95,c1
HORVU.MOREX.r3.4HG0383280,49,26,7,7,c1
HORVU.MOREX.r3.4HG0383320,24,30,21,60,c1
HORVU.MOREX.r3.4HG0383400,203,946,1653,1233,c2
HORVU.MOREX.r3.4HG0383410,45,36,31,39,c1
HORVU.MOREX.r3.4HG0383450,4,5,32,25,c1
HORVU.MOREX.r3.4HG0383530,19,8,32,23,c1
HORVU.MOREX.r3.4HG0383540,69,87,16,7,c1
HORVU.MOREX.r3.4HG0383570,62,115,333,276,c2
HORVU.MOREX.r3.4HG0383630,50,172,174,134,c6
HORVU.MOREX.r3.4HG0383650,6,19,492,367,c2
HORVU.MOREX.r3.4HG0383820,23,65,37,60,c1
HORVU.MOREX.r3.4HG0383890,462,745,885,795,c2
HORVU.MOREX.r3.4HG0383900,327,699,683,434,c2
HORVU.MOREX.r3.4HG0384360,235,310,35,32,c1
HORVU.MOREX.r3.4HG0384390,58,69,11,6,c1
HORVU.MOREX.r3.4HG0384450,27,22,9,19,c1
HORVU.MOREX.r3.4HG0384580,732,589,116,146,c1
HORVU.MOREX.r3.4HG0384620,18,28,21,35,c1
HORVU.MOREX.r3.4HG0384700,125,288,704,738,c5
HORVU.MOREX.r3.4HG0384780,55,11,0,0,c1
HORVU.MOREX.r3.4HG0384980,47,100,409,322,c2
HORVU.MOREX.r3.4HG0385030,10,25,264,241,c5
HORVU.MOREX.r3.4HG0385170,198,255,188,157,c4
HORVU.MOREX.r3.4HG0385330,62,15,13,13,c1
HORVU.MOREX.r3.4HG0385530,402,370,200,301,c3
HORVU.MOREX.r3.4HG0385670,104,86,25,14,c1
HORVU.MOREX.r3.4HG0385690,577,755,946,594,c2
HORVU.MOREX.r3.4HG0385780,938,1697,2064,1535,c2
HORVU.MOREX.r3.4HG0385790,1436,1724,373,402,c7
HORVU.MOREX.r3.4HG0386200,14,11,9,20,c1
HORVU.MOREX.r3.4HG0386490,216,607,624,532,c2
HORVU.MOREX.r3.4HG0386780,26,35,26,16,c1
HORVU.MOREX.r3.4HG0386880,186,217,233,180,c2
HORVU.MOREX.r3.4HG0386930,1504,1043,152,157,c1
HORVU.MOREX.r3.4HG0387070,94,99,122,97,c1
HORVU.MOREX.r3.4HG0387270,18309,16954,2691,2729,c1
HORVU.MOREX.r3.4HG0387290,94,83,13,10,c1
HORVU.MOREX.r3.4HG0387510,669,1046,2044,1397,c2
HORVU.MOREX.r3.4HG0387540,141,270,39,34,c1
HORVU.MOREX.r3.4HG0387550,36,79,128,86,c4
HORVU.MOREX.r3.4HG0387850,73,66,18,12,c1
HORVU.MOREX.r3.4HG0388400,547,854,1447,1151,c2
HORVU.MOREX.r3.4HG0388440,614,421,917,843,c2
HORVU.MOREX.r3.4HG0388460,550,112,9,1,c1
HORVU.MOREX.r3.4HG0388470,135,92,7,12,c1
HORVU.MOREX.r3.4HG0388540,132,99,28,23,c1
HORVU.MOREX.r3.4HG0388680,311,424,299,259,c2
HORVU.MOREX.r3.4HG0388780,159,91,26,28,c1
HORVU.MOREX.r3.4HG0388810,98,68,32,53,c1
HORVU.MOREX.r3.4HG0388840,370,609,992,931,c2
HORVU.MOREX.r3.4HG0388870,9,4,41,45,c1
HORVU.MOREX.r3.4HG0388940,98,89,13,20,c1
HORVU.MOREX.r3.4HG0389060,403,359,355,273,c2
HORVU.MOREX.r3.4HG0389120,201,163,26,14,c1
HORVU.MOREX.r3.4HG0389200,109,133,30,23,c1
HORVU.MOREX.r3.4HG0389240,77,60,8,3,c1
HORVU.MOREX.r3.4HG0389260,5167,4598,876,789,c1
HORVU.MOREX.r3.4HG0389310,47,80,71,64,c1
HORVU.MOREX.r3.4HG0389340,40,31,7,10,c1
HORVU.MOREX.r3.4HG0389380,339,298,88,63,c1
HORVU.MOREX.r3.4HG0389440,5,1,24,39,c1
HORVU.MOREX.r3.4HG0389480,70,45,13,17,c1
HORVU.MOREX.r3.4HG0389490,1782,1881,330,439,c1
HORVU.MOREX.r3.4HG0389500,73,82,37,69,c1
HORVU.MOREX.r3.4HG0389540,1968,2108,366,469,c1
HORVU.MOREX.r3.4HG0389580,103,108,109,97,c1
HORVU.MOREX.r3.4HG0389730,304,462,986,509,c2
HORVU.MOREX.r3.4HG0389790,247,341,588,441,c2
HORVU.MOREX.r3.4HG0390200,33,27,45,46,c1
HORVU.MOREX.r3.4HG0390240,42,43,18,6,c1
HORVU.MOREX.r3.4HG0390380,318,312,67,38,c1
HORVU.MOREX.r3.4HG0390400,983,1963,233,272,c1
HORVU.MOREX.r3.4HG0390450,16,15,17,26,c1
HORVU.MOREX.r3.4HG0390620,150,287,189,126,c4
HORVU.MOREX.r3.4HG0390740,66,131,105,135,c3
HORVU.MOREX.r3.4HG0390770,91,136,108,98,c1
HORVU.MOREX.r3.4HG0390930,59,56,47,51,c1
HORVU.MOREX.r3.4HG0390960,212,481,553,354,c2
HORVU.MOREX.r3.4HG0391040,58,93,85,71,c1
HORVU.MOREX.r3.4HG0391100,197,128,39,45,c1
HORVU.MOREX.r3.4HG0391140,600,583,639,331,c2
HORVU.MOREX.r3.4HG0391160,67,66,86,97,c1
HORVU.MOREX.r3.4HG0391170,1562,1383,73,34,c1
HORVU.MOREX.r3.4HG0391180,17,17,23,29,c1
